id,matricula_id,momento,tipo,nota
1,1,1,PARCIAL_1,4.5
2,1,1,TRABAJO,3.8
3,1,2,PARCIAL_2,4.2
4,1,3,EXAMEN_FINAL,4.0
5,2,1,PARCIAL_1,3.5
6,2,2,PARCIAL_2,3.9
7,2,3,EXAMEN_FINAL,4.1
8,3,1,TRABAJO,2.8
9,3,2,PARCIAL_1,3.2
10,3,3,EXAMEN_FINAL,3.7
11,4,1,PARCIAL_1,4.0
12,4,2,TRABAJO,3.5
13,4,3,EXAMEN_FINAL,4.3
14,5,1,PARCIAL_1,2.9
15,5,2,PARCIAL_2,3.6
16,5,3,EXAMEN_FINAL,3.8
17,6,1,TRABAJO,4.2
18,6,2,PARCIAL_1,4.5
19,6,3,EXAMEN_FINAL,4.7
20,7,1,PARCIAL_1,3.3
21,7,2,PARCIAL_2,3.7
22,7,3,EXAMEN_FINAL,3.9
23,8,1,TRABAJO,2.5
24,8,2,PARCIAL_1,3.0
25,8,3,EXAMEN_FINAL,3.4
26,9,1,PARCIAL_1,4.8
27,9,2,TRABAJO,4.1
28,9,3,EXAMEN_FINAL,4.6
29,10,1,PARCIAL_1,3.1
30,10,2,PARCIAL_2,3.4
31,10,3,EXAMEN_FINAL,3.6
32,11,1,TRABAJO,4.0
33,11,2,PARCIAL_1,4.3
34,11,3,EXAMEN_FINAL,4.5
35,12,1,PARCIAL_1,2.7
36,12,2,PARCIAL_2,3.2
37,12,3,EXAMEN_FINAL,3.5
38,13,1,TRABAJO,3.9
39,13,2,PARCIAL_1,4.1
40,13,3,EXAMEN_FINAL,4.4
41,14,1,PARCIAL_1,3.0
42,14,2,PARCIAL_2,3.3
43,14,3,EXAMEN_FINAL,3.7
44,15,1,TRABAJO,4.6
45,15,2,PARCIAL_1,4.8
46,15,3,EXAMEN_FINAL,4.9
47,16,1,PARCIAL_1,2.5
48,16,2,PARCIAL_2,3.0
49,16,3,EXAMEN_FINAL,3.2
50,17,1,TRABAJO,3.7
51,17,2,PARCIAL_1,4.0
52,17,3,EXAMEN_FINAL,4.2
53,18,1,PARCIAL_1,3.4
54,18,2,PARCIAL_2,3.6
