id,nombre,semestre,cupo_maximo,estado,materia_id,profesor_id
1,Grupo A 2023-I,2023-I,30,ACTIVO,1,101
2,Grupo B 2023-I,2023-I,25,ACTIVO,2,102
3,Grupo C 2023-II,2023-II,30,ACTIVO,3,103
4,Grupo D 2023-II,2023-II,25,ACTIVO,4,104
5,Grupo E 2023-I,2023-I,30,ACTIVO,5,105
6,Grupo F 2023-I,2023-I,28,ACTIVO,6,106
7,Grupo G 2023-II,2023-II,32,ACTIVO,7,107
8,Grupo H 2023-II,2023-II,27,ACTIVO,8,108
9,Grupo I 2023-I,2023-I,30,ACTIVO,9,109
10,Grupo J 2023-I,2023-I,26,ACTIVO,10,110
11,Grupo K 2023-II,2023-II,35,ACTIVO,1,111
12,Grupo L 2023-II,2023-II,29,ACTIVO,2,112
13,Grupo M 2023-I,2023-I,31,ACTIVO,3,113
14,Grupo N 2023-I,2023-I,24,ACTIVO,4,114
15,Grupo O 2023-II,2023-II,30,ACTIVO,5,115
16,Grupo P 2023-II,2023-II,28,ACTIVO,6,116
17,Grupo Q 2023-I,2023-I,33,ACTIVO,7,117
18,Grupo R 2023-I,2023-I,27,ACTIVO,8,118
19,Grupo S 2023-II,2023-II,30,ACTIVO,9,119
20,Grupo T 2023-II,2023-II,25,ACTIVO,10,120
