id,grupo_id,estudiante_id,fecha_matricula
1,1,1,2023-01-15T00:00:00
2,1,2,2023-01-15T00:00:00
3,2,3,2023-01-15T00:00:00
4,2,4,2023-01-15T00:00:00
5,3,5,2023-01-15T00:00:00
6,4,6,2023-02-10T00:00:00
7,5,7,2023-03-12T00:00:00
8,3,8,2023-01-20T00:00:00
9,6,9,2023-04-01T00:00:00
10,2,10,2023-02-25T00:00:00
11,7,11,2023-03-05T00:00:00
12,8,12,2023-01-18T00:00:00
13,9,13,2023-02-14T00:00:00
14,10,14,2023-03-22T00:00:00
15,11,15,2023-04-10T00:00:00
16,12,16,2023-05-01T00:00:00
17,13,17,2023-02-11T00:00:00
18,14,18,2023-03-30T00:00:00
19,15,19,2023-01-25T00:00:00
20,16,20,2023-04-15T00:00:00
21,17,21,2023-05-10T00:00:00
22,18,22,2023-02-05T00:00:00
23,19,23,2023-03-18T00:00:00
24,20,24,2023-01-28T00:00:00
25,1,25,2023-02-19T00:00:00
26,2,26,2023-03-11T00:00:00
27,3,27,2023-04-02T00:00:00
28,4,28,2023-05-06T00:00:00
29,5,29,2023-01-30T00:00:00
30,6,30,2023-02-22T00:00:00
31,7,31,2023-03-09T00:00:00
32,8,32,2023-04-18T00:00:00
33,9,33,2023-05-20T00:00:00
34,10,34,2023-01-12T00:00:00
35,11,35,2023-02-08T00:00:00
36,12,36,2023-03-25T00:00:00
37,13,37,2023-04-07T00:00:00
38,14,38,2023-05-14T00:00:00
39,15,39,2023-01-21T00:00:00
40,16,40,2023-02-27T00:00:00
41,17,41,2023-03-16T00:00:00
42,18,42,2023-04-11T00:00:00
43,19,43,2023-05-03T00:00:00
44,20,44,2023-01-17T00:00:00
45,1,45,2023-02-13T00:00:00
46,2,46,2023-03-27T00:00:00
47,3,47,2023-04-05T00:00:00
48,4,48,2023-05-09T00:00:00
49,5,49,2023-01-29T00:00:00
50,6,50,2023-02-16T00:00:00
51,7,51,2023-03-14T00:00:00
52,8,52,2023-04-21T00:00:00
53,9,53,2023-05-18T00:00:00
54,10,54,2023-01-11T00:00:00
55,11,55,2023-02-24T00:00:00
56,12,56,2023-03-28T00:00:00
57,13,57,2023-04-03T00:00:00
58,14,58,2023-05-12T00:00:00
59,15,59,2023-01-23T00:00:00
60,16,60,2023-02-09T00:00:00
61,17,61,2023-03-06T00:00:00
62,18,62,2023-04-17T00:00:00
63,19,63,2023-05-22T00:00:00
64,20,64,2023-01-26T00:00:00
65,1,65,2023-02-20T00:00:00
66,2,66,2023-03-10T00:00:00
67,3,67,2023-04-06T00:00:00
68,4,68,2023-05-08T00:00:00
69,5,69,2023-01-31T00:00:00
70,6,70,2023-02-21T00:00:00
71,7,71,2023-03-15T00:00:00
72,8,72,2023-04-22T00:00:00
73,9,73,2023-05-19T00:00:00
74,10,74,2023-01-13T00:00:00
75,11,75,2023-02-07T00:00:00
76,12,76,2023-03-24T00:00:00
77,13,77,2023-04-09T00:00:00
78,14,78,2023-05-13T00:00:00
79,15,79,2023-01-22T00:00:00
80,16,80,2023-02-28T00:00:00
81,17,81,2023-03-17T00:00:00
82,18,82,2023-04-12T00:00:00
83,19,83,2023-05-04T00:00:00
84,20,84,2023-01-16T00:00:00
85,1,85,2023-02-12T00:00:00
86,2,86,2023-03-29T00:00:00
87,3,87,2023-04-04T00:00:00
88,4,88,2023-05-07T00:00:00
89,5,89,2023-01-27T00:00:00
90,6,90,2023-02-18T00:00:00
91,7,91,2023-03-13T00:00:00
92,8,92,2023-04-20T00:00:00
93,9,93,2023-05-17T00:00:00
94,10,94,2023-01-10T00:00:00
95,11,95,2023-02-26T00:00:00
96,12,96,2023-03-26T00:00:00
97,13,97,2023-04-08T00:00:00
98,14,98,2023-05-11T00:00:00
99,15,99,2023-01-24T00:00:00
100,16,100,2023-02-06T00:00:00
101,17,1,2023-03-02T00:00:00
102,18,2,2023-04-14T00:00:00
103,19,3,2023-05-23T00:00:00
104,20,4,2023-01-19T00:00:00
105,1,5,2023-02-15T00:00:00
106,2,6,2023-03-21T00:00:00
107,3,7,2023-04-16T00:00:00
108,4,8,2023-05-02T00:00:00
109,5,9,2023-01-14T00:00:00
110,6,10,2023-02-23T00:00:00
111,7,11,2023-03-08T00:00:00
112,8,12,2023-04-19T00:00:00
113,9,13,2023-05-21T00:00:00
114,10,14,2023-01-09T00:00:00
115,11,15,2023-02-17T00:00:00
116,12,16,2023-03-23T00:00:00
117,13,17,2023-04-13T00:00:00
118,14,18,2023-05-15T00:00:00
119,15,19,2023-01-08T00:00:00
120,16,20,2023-02-04T00:00:00
121,17,21,2023-03-01T00:00:00
122,18,22,2023-04-23T00:00:00
123,19,23,2023-05-24T00:00:00
124,20,24,2023-01-07T00:00:00
125,1,25,2023-02-03T00:00:00
126,2,26,2023-03-19T00:00:00
127,3,27,2023-04-24T00:00:00
128,4,28,2023-05-05T00:00:00
129,5,29,2023-01-06T00:00:00
130,6,30,2023-02-01T00:00:00
131,7,31,2023-03-04T00:00:00
132,8,32,2023-04-25T00:00:00
133,9,33,2023-05-25T00:00:00
134,10,34,2023-01-05T00:00:00
135,11,35,2023-02-02T00:00:00
136,12,36,2023-03-03T00:00:00
137,13,37,2023-04-26T00:00:00
138,14,38,2023-05-26T00:00:00
139,15,39,2023-01-04T00:00:00
140,16,40,2023-02-28T00:00:00
141,17,41,2023-03-07T00:00:00
142,18,42,2023-04-27T00:00:00
143,19,43,2023-05-27T00:00:00
144,20,44,2023-01-03T00:00:00
145,1,45,2023-02-27T00:00:00
146,2,46,2023-03-20T00:00:00
147,3,47,2023-04-28T00:00:00
148,4,48,2023-05-28T00:00:00
149,5,49,2023-01-02T00:00:00
150,6,50,2023-02-05T00:00:00
